,Country,State
283,Cape Verde,Sotavento Islands
284,Chad,Logone Occidental
285,Chad,Logone Oriental
286,Chile,Antofagasta
287,Chile,Arica y Parinacota
288,Chile,Atacama
289,China,Guangdong
290,China,Guangxi Zhuang
291,Colombia,Antioquia
292,Colombia,Arauca
293,Colombia,"Archipiélago de San Andrés, Providencia y Santa Catalina"
294,Czech Republic,Jihočeský kraj
295,Czech Republic,Jihomoravský kraj
296,Czech Republic,Nový Jičín
297,Czech Republic,Ostrava-město
298,Czech Republic,Vyškov
299,Cook Islands,Ituri
300,Democratic Republic of the Congo,North Denmark Region
301,Dominica,El Seibo Province
302,Dominica,Espaillat Province
303,Dominica,San Pedro de Macorís
304,East Timor,Santo Domingo de los Tsáchilas
305,East Timor,Sucumbíos
306,Ecuador,Alexandria
307,Equatorial Guinea,Northern Red Sea Region
308,Estonia,Addis Ababa
309,Faroe Islands,Northern Division
310,Finland,Essonne
311,Finland,Eure
312,Finland,Seine-Saint-Denis
313,Finland,Territoire de Belfort
314,French Southern Territories,Estuaire Province
315,Gabon,North Bank Division
316,Gambia The,Abkhazia
317,Gambia The,Adjara
318,Gambia The,Imereti
319,Germany,Northern
320,Gibraltar,East Macedonia and Thrace
321,Gibraltar,Thessaloniki Regional Unit
322,Guam,Totonicapán Department
323,Guernsey and Alderney,Nzérékoré Region
324,Guinea-Bissau,East Berbice-Corentyne
325,Hungary,Northeastern Region
326,Hungary,Northwestern Region
327,Iceland,Himachal Pradesh
328,Iceland,Mizoram
329,Indonesia,North Khorasan
330,Iran,Al Muthanna
331,Iran,Kirkuk
332,Iraq,Wicklow
333,Ireland,Tel Aviv District
334,Israel,Alessandria
335,Israel,Ancona
336,Israel,Apulia
337,Israel,Oristano
338,Italy,Hanover Parish
339,Jamaica,Ehime Prefecture
340,Jersey,Aqaba
341,Jersey,Karak
342,Jordan,North Kazakhstan Region
343,Jordan,Nur-Sultan
344,Kazakhstan,Uasin Gishu
345,Kuwait,Al Jahra
346,Kyrgyzstan,Naryn Region
347,Lesotho,Thaba-Tseka District
348,Libya,Tripoli District
349,Malaysia,Northern Region
350,Malaysia,Thyolo District
351,Maldives,Negeri Sembilan
352,Mali,Laamu Atoll
353,Mali,Lhaviyani Atoll
354,Man (Isle of),St. Julian's
355,Mauritius,Assaba
356,Mauritius,Inchiri
357,Mauritius,Tagant
358,Mayotte,Saint Brandon Islands
359,Micronesia,Nuevo León
360,Monaco,Taraclia District
361,Monaco,Telenești District
362,Monaco,Transnistria autonomous territorial unit
363,Mozambique,Al Hoceïma
364,Mozambique,L'Oriental
365,Mozambique,Taourirt
366,Mozambique,Taroudannt
367,Mozambique,Tiznit
368,New Zealand,Sint Eustatius
369,Niger,Nelson Region
370,Niger,Northland Region
371,Niger,Tasman District
372,Norfolk Island,Abia
373,Norfolk Island,Adamawa
374,Norfolk Island,Anambra
375,Norfolk Island,Ondo
376,Norfolk Island,Oyo
377,Norway,Oslo
378,Oman,Al Wusta
379,Oman,Musandam
380,Papua new Guinea,Eastern Highlands Province
381,Papua new Guinea,Enga Province
382,Peru,Arequipa
383,Philippines,Abra
384,Philippines,Aurora
385,Philippines,Occidental Mindoro
386,Philippines,Oriental Mindoro
387,Poland,Podkarpackie Voivodeship
388,Poland,Podlaskie Voivodeship
389,Poland,Pomeranian Voivodeship
390,Puerto Rico,Aguada
391,Puerto Rico,Aguadilla
392,Puerto Rico,Salinas
393,Qatar,Al-Shahaniya
394,Romania,Alba
395,Russia,Chechen Republic
396,Russia,Chuvash Republic
397,Russia,Tambov Oblast
398,Russia,Tomsk Oblast
399,Russia,Tula Oblast
400,Russia,Tver Oblast
401,Russia,Tyumen Oblast
402,Rwanda,Eastern Province
403,Saint Kitts And Nevis,Saint Kitts
404,Samoa,A'ana
405,Samoa,Atua
406,San Marino,Acquaviva
407,Saudi Arabia,Eastern Province
408,Saudi Arabia,Najran
409,Senegal,Kaolack
410,Senegal,Matam
411,Senegal,Saint-Louis
412,Serbia,Toplica District
413,Seychelles,Saint Louis
414,Sierra Leone,Eastern Province
415,Sint Maarten (Dutch part),Nitra Region
416,Somalia,Eastern Cape
417,Somalia,Gauteng
418,South Korea,A Coruña
419,South Korea,Almeria
420,South Korea,Araba
421,South Sudan,Eastern Province
422,South Sudan,Trincomalee District
423,Spain,North Kordofan
424,Spain,Northern
425,Swaziland,Nidwalden
426,Sweden,As-Suwayda
427,Taiwan,Arusha
428,Tajikistan,Maha Sarakham
429,Tajikistan,Nakhon Sawan
430,Tajikistan,Nan
431,Tajikistan,Trat
432,Bahrain,South Andros
433,Bahrain,Spanish Wells
434,Togo,Arima
435,Tokelau,Ariana
436,Tonga,Adana
437,Tonga,Amasya
438,Tonga,Ankara
439,Tonga,Antalya
440,Tonga,Edirne
441,Tonga,Karabük
442,Tonga,Sivas
443,Tonga,Tokat
444,Turkmenistan,Northern Region
445,Turkmenistan,Tororo District
446,Turks And Caicos Islands,Autonomous Republic of Crimea
447,Turks And Caicos Islands,Ternopilska oblast
448,Uganda,East Ayrshire
449,Uganda,East Dunbartonshire
450,Uganda,East Renfrewshire
451,Uganda,East Riding of Yorkshire
452,Uganda,Larne Borough Council
453,Uganda,Limavady Borough Council
454,Uganda,Lisburn City Council
455,Uganda,Liverpool
456,Uganda,Mid and East Antrim
457,Uganda,"Newry, Mourne and Down"
458,Uganda,Scottish Borders
459,Uganda,Shetland Islands
460,Uganda,St Helens
461,Uganda,Stockton-on-Tees
462,Ukraine,Alabama
463,Ukraine,Alaska
464,Ukraine,American Samoa
465,Ukraine,Arizona
466,Ukraine,Ohio
467,United States,Namangan Region
468,United States,Navoiy Region
469,United States,Tashkent
470,Uzbekistan,Aragua
471,Uzbekistan,Yaracuy
472,Vanuatu,Hà Tĩnh
473,Vanuatu,Hồ Chí Minh
474,Vanuatu,Hòa Bình
475,Vanuatu,Nghệ An
476,Vanuatu,Ninh Thuận
477,Venezuela,Saint Thomas
478,Virgin Islands (US),Hajjah
479,Wallis And Futuna Islands,Eastern Province
480,Afghanistan,Nuristan
481,Albania,Tepelenë District
482,Albania,Tirana District
483,Albania,Tropojë District
484,Algeria,Aïn Defla
485,Algeria,Annaba
486,Algeria,Illizi
487,Algeria,Mostaganem
488,Algeria,Sidi Bel Abbès
489,Algeria,Souk Ahras
490,Algeria,Tamanghasset
491,Algeria,Tiaret
492,Algeria,Tissemsilt
493,Algeria,Touggourt
494,Andorra,Andorra la Vella
495,Andorra,Ordino
496,Argentina,Neuquén
497,Argentina,San Luis
498,Azerbaijan,Tartar District
499,Azerbaijan,Tovuz District
500,Bangladesh,Northern
501,Barbados,Tangail District
502,Barbados,Thakurgaon District
503,Belarus,Saint James
504,Belarus,Saint Thomas
505,Benin,Toledo District
506,Bhutan,Saint George's
507,Bhutan,Sandys
508,Bhutan,Smith's
509,Bolivia,Thimphu District
510,Bolivia,Trashigang District
511,Bolivia,Trongsa District
512,Bolivia,Tsirang District
513,"Bonaire, Sint Eustatius and Saba",Tarija Department
514,New Caledonia,Sint Eustatius
515,Brunei,Temburong District
516,Brunei,Tutong District
517,Cameroon,Adamawa
518,Cameroon,Littoral
519,Canada,Alberta
520,Canada,Ontario
521,Cape Verde,São Domingos
522,Cape Verde,São Lourenço dos Órgãos
523,Cape Verde,Sotavento Islands
524,Chad,Logone Occidental
525,Chad,Logone Oriental
526,Chile,Antofagasta
527,Chile,Arica y Parinacota
528,Chile,Atacama
529,China,Guangdong
530,China,Guangxi Zhuang
531,Colombia,Antioquia
532,Colombia,Arauca
533,Colombia,"Archipiélago de San Andrés, Providencia y Santa Catalina"
534,Czech Republic,Jihočeský kraj
535,Czech Republic,Jihomoravský kraj
536,Czech Republic,Nový Jičín
537,Czech Republic,Ostrava-město
538,Czech Republic,Vyškov
539,Cook Islands,Ituri
540,Democratic Republic of the Congo,North Denmark Region
541,Dominica,El Seibo Province
542,Dominica,Espaillat Province
543,Dominica,San Pedro de Macorís
544,East Timor,Santo Domingo de los Tsáchilas
545,East Timor,Sucumbíos
546,Ecuador,Alexandria
547,Equatorial Guinea,Northern Red Sea Region
548,Estonia,Addis Ababa
549,Faroe Islands,Northern Division
550,Finland,Essonne
551,Finland,Eure
552,Finland,Seine-Saint-Denis
553,Finland,Territoire de Belfort
554,French Southern Territories,Estuaire Province
555,Gabon,North Bank Division
556,Gambia The,Abkhazia
557,Gambia The,Adjara
558,Gambia The,Imereti
559,Germany,Northern
560,Gibraltar,East Macedonia and Thrace
561,Gibraltar,Thessaloniki Regional Unit
562,Guam,Totonicapán Department
563,Guernsey and Alderney,Nzérékoré Region
564,Guinea-Bissau,East Berbice-Corentyne
565,Hungary,Northeastern Region
566,Hungary,Northwestern Region
567,Iceland,Himachal Pradesh
568,Iceland,Mizoram
569,Indonesia,North Khorasan
570,Iran,Al Muthanna
571,Iran,Kirkuk
572,Iraq,Wicklow
573,Ireland,Tel Aviv District
574,Israel,Alessandria
575,Israel,Ancona
576,Israel,Apulia
577,Israel,Oristano
578,Italy,Hanover Parish
579,Jamaica,Ehime Prefecture
580,Jersey,Aqaba
581,Jersey,Karak
582,Jordan,North Kazakhstan Region
583,Jordan,Nur-Sultan
584,Kazakhstan,Uasin Gishu
585,Kuwait,Al Jahra
586,Kyrgyzstan,Naryn Region
587,Lesotho,Thaba-Tseka District
588,Libya,Tripoli District
589,Malaysia,Northern Region
590,Malaysia,Thyolo District
591,Maldives,Negeri Sembilan
592,Mali,Laamu Atoll
593,Mali,Lhaviyani Atoll
594,Man (Isle of),St. Julian's
595,Mauritius,Assaba
596,Mauritius,Inchiri
597,Mauritius,Tagant
598,Mayotte,Saint Brandon Islands
599,Micronesia,Nuevo León
600,Monaco,Taraclia District
601,Monaco,Telenești District
602,Monaco,Transnistria autonomous territorial unit
603,Mozambique,Al Hoceïma
604,Mozambique,L'Oriental
605,Mozambique,Taourirt
606,Mozambique,Taroudannt
607,Mozambique,Tiznit
608,New Zealand,Sint Eustatius
609,Niger,Nelson Region
610,Niger,Northland Region
611,Niger,Tasman District
612,Norfolk Island,Abia
613,Norfolk Island,Adamawa
614,Norfolk Island,Anambra
615,Norfolk Island,Ondo
616,Norfolk Island,Oyo
617,Norway,Oslo
618,Oman,Al Wusta
619,Oman,Musandam
620,Papua new Guinea,Eastern Highlands Province
621,Papua new Guinea,Enga Province
622,Peru,Arequipa
623,Philippines,Abra
624,Philippines,Aurora
625,Philippines,Occidental Mindoro
626,Philippines,Oriental Mindoro
627,Poland,Podkarpackie Voivodeship
628,Poland,Podlaskie Voivodeship
629,Poland,Pomeranian Voivodeship
630,Puerto Rico,Aguada
631,Puerto Rico,Aguadilla
632,Puerto Rico,Salinas
633,Qatar,Al-Shahaniya
634,Romania,Alba
635,Russia,Chechen Republic
636,Russia,Chuvash Republic
637,Russia,Tambov Oblast
638,Russia,Tomsk Oblast
639,Russia,Tula Oblast
640,Russia,Tver Oblast
641,Russia,Tyumen Oblast
642,Rwanda,Eastern Province
643,Saint Kitts And Nevis,Saint Kitts
644,Samoa,A'ana
645,Samoa,Atua
646,San Marino,Acquaviva
647,Saudi Arabia,Eastern Province
648,Saudi Arabia,Najran
649,Senegal,Kaolack
650,Senegal,Matam
651,Senegal,Saint-Louis
652,Serbia,Toplica District
653,Seychelles,Saint Louis
654,Sierra Leone,Eastern Province
655,Sint Maarten (Dutch part),Nitra Region
656,Somalia,Eastern Cape
657,Somalia,Gauteng
658,South Korea,A Coruña
659,South Korea,Almeria
660,South Korea,Araba
661,South Sudan,Eastern Province
662,South Sudan,Trincomalee District
663,Spain,North Kordofan
664,Spain,Northern
665,Swaziland,Nidwalden
666,Sweden,As-Suwayda
667,Taiwan,Arusha
668,Tajikistan,Maha Sarakham
669,Tajikistan,Nakhon Sawan
670,Tajikistan,Nan
671,Tajikistan,Trat
672,Bahrain,South Andros
673,Bahrain,Spanish Wells
674,Togo,Arima
675,Tokelau,Ariana
676,Tonga,Adana
677,Tonga,Amasya
678,Tonga,Ankara
679,Tonga,Antalya
680,Tonga,Edirne
681,Tonga,Karabük
682,Tonga,Sivas
683,Tonga,Tokat
684,Turkmenistan,Northern Region
685,Turkmenistan,Tororo District
686,Turks And Caicos Islands,Autonomous Republic of Crimea
687,Turks And Caicos Islands,Ternopilska oblast
688,Uganda,East Ayrshire
689,Uganda,East Dunbartonshire
690,Uganda,East Renfrewshire
691,Uganda,East Riding of Yorkshire
692,Uganda,Larne Borough Council
693,Uganda,Limavady Borough Council
694,Uganda,Lisburn City Council
695,Uganda,Liverpool
696,Uganda,Mid and East Antrim
697,Uganda,"Newry, Mourne and Down"
698,Uganda,Scottish Borders
699,Uganda,Shetland Islands
700,Uganda,St Helens
701,Uganda,Stockton-on-Tees
702,Ukraine,Alabama
703,Ukraine,Alaska
704,Ukraine,American Samoa
705,Ukraine,Arizona
706,Ukraine,Ohio
707,United States,Namangan Region
708,United States,Navoiy Region
709,United States,Tashkent
710,Uzbekistan,Aragua
711,Uzbekistan,Yaracuy
712,Vanuatu,Hà Tĩnh
713,Vanuatu,Hồ Chí Minh
714,Vanuatu,Hòa Bình
715,Vanuatu,Nghệ An
716,Vanuatu,Ninh Thuận
717,Venezuela,Saint Thomas
718,Virgin Islands (US),Hajjah
719,Wallis And Futuna Islands,Eastern Province
